country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,corruption_perceptions,avg_happiness_score,annual_average,avg_annual_region,avg_annual,happiness_category
Nigeria,4.961455555000001,0.7809075683333333,0.9331987135555556,0.13021129622222224,0.4072124466666666,0.2150883688888889,0.03416794455555555,4.9614555550000015,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Northern Cyprus,5.711937499125,1.3453975926250001,1.04821656425,0.899593979375,0.4752899185000001,0.210739469625,0.15896703212500002,5.702948856693182,5.4318256497959885,6.801592857827382,5.4318256497959885,Moderately happy
Norway,7.473888899444445,1.6172345015555554,1.3909495623333337,0.8318598224444442,0.671493719,0.29010414700000003,0.39087271144444447,7.473888899444448,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Pakistan,5.157588869222222,0.7470303338888891,0.6011255856666667,0.4003001138888889,0.32576411066666666,0.24474567577777778,0.11248668755555553,5.157588869222223,5.444338486093167,4.463861366407407,5.444338486093167,Moderately happy
Palestinian Territories,4.65447503425,0.708247305875,1.029034089125,0.579635443375,0.2666052265,0.09675492937499998,0.08654703174999999,4.654475034249999,5.4318256497959885,5.287426859486842,5.4318256497959885,Not happy
Panama,6.416533352777777,1.2851118054444446,1.2557735384444444,0.7344069634444443,0.5658051793333333,0.1356560274444444,0.062127161111111114,6.416533352777777,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Paraguay,5.666011119888888,0.9993453488888888,1.312818048888889,0.6128944821111111,0.5583730948888889,0.21053443322222223,0.0693914768888889,5.6660111198888865,5.444338486093167,5.9905635228708,5.444338486093167,Moderately happy
Peru,5.70708892111111,1.057442716888889,1.0653684841111113,0.6888578097777778,0.4853547707777778,0.1042801702222222,0.038099083000000006,5.707088921111113,5.444338486093167,5.9905635228708,5.444338486093167,Moderately happy
Philippines,5.583333318888888,0.8990344323333334,1.0962476986666667,0.5019665040000001,0.6250133151111111,0.1513804038888889,0.12123084666666666,5.583333318888888,5.444338486093167,5.37134784239352,5.444338486093167,Moderately happy
Poland,6.071033316777776,1.3387130014444442,1.288715749,0.728791536,0.5202628488888889,0.1203178012222222,0.09332989522222222,6.071033316777777,5.444338486093167,5.589284174912879,5.444338486093167,Happy
Portugal,5.594100032,1.3522173473333332,1.2247325963333333,0.8223309803333333,0.5654800543333333,0.06447107333333334,0.024510324222222227,5.594100031999999,5.444338486093167,6.811899206957673,5.444338486093167,Moderately happy
Qatar,6.4218,1.7436911372000001,1.1697073760000003,0.7687316176000001,0.6040641966,0.291216774,0.3559738512,6.4218,5.3789902133756,5.336474733578947,5.3789902133756,Happy
Republic of Serbia,5.652688903444445,1.1327110453333333,1.168174306777778,0.6809275516666667,0.35304377188888886,0.18834319711111108,0.05410121422222222,5.652688903444443,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Republic of the Congo,4.711299965375001,0.710791374625,0.67469629675,0.33046106975,0.41832253324999996,0.11958976762500001,0.10533486475,4.711299965375001,5.430683879046594,4.275837169125665,5.430683879046594,Not happy
Romania,5.980188883444445,1.2832483924444442,1.0586043766666666,0.6829303524444446,0.49996178533333335,0.08523017077777778,0.003499718888888889,5.980188883444445,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Russia,5.681777758333333,1.3020775237777777,1.281967388666667,0.5861072493333332,0.38432141188888885,0.07551730422222222,0.04795247144444444,5.681777758333332,5.444338486093167,5.589284174912879,5.444338486093167,Moderately happy
Rwanda,3.3985374903750003,0.38781607100000004,0.6000179181249999,0.4411372615,0.59501771775,0.222657627125,0.48623531124999997,3.3985374903749994,5.4318256497959885,4.287987277350773,5.4318256497959885,Not happy
Saudi Arabia,6.418499969555556,1.521988009666667,1.1825386346666669,0.6210984963333332,0.5079720047777778,0.107298522,0.20378606333333335,6.418499969555556,5.444338486093167,5.268499088774629,5.444338486093167,Happy
Senegal,4.664866666555556,0.5627212044444444,0.8834039256666668,0.42296941777777775,0.3889559073333333,0.1645917808888889,0.08936293166666665,4.6648666665555565,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Sierra Leone,4.142600006333334,0.38478570133333334,0.7003145545555556,0.10183541333333333,0.36066393077777775,0.23694865655555553,0.059984012444444436,4.142600006333333,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Singapore,6.503900002000001,1.7213630884444444,1.227872363666667,0.9515274086666666,0.5998197527777777,0.24931632077777774,0.5071600023333334,6.503900002000001,5.444338486093167,5.37134784239352,5.444338486093167,Happy
Slovakia,6.223733346777778,1.3550968052222223,1.3516733811111112,0.72754313,0.37775333266666666,0.12806380611111112,0.02136469922222222,6.223733346777777,5.444338486093167,5.589284174912879,5.444338486093167,Happy
Slovenia,6.171599986555555,1.3884787167777777,1.3507973902222223,0.8022506971111112,0.6264962168888889,0.17633451011111115,0.0685405891111111,6.171599986555555,5.444338486093167,5.589284174912879,5.444338486093167,Happy
Somalia,5.0602500057499995,0.005660796,0.616820338,0.15291228424999997,0.600726739,0.26122032775000004,0.28655258100000003,5.06025000575,5.379804222415702,4.18586135402328,5.379804222415702,Moderately happy
